id,projectId,configurationId,unitNumber,type,floor,areaSqFt,frontageFt,ceilingHeightFt,fitOutStatus,nearAnchor,isCorner,visibilityScore,ventilationReady,priceTotal,ratePsf,leaseModel,lockInMonths,escalationPct,availability,notes
02c5d763-e884-4edc-bddf-e2346f40bb0f,049251cb-0089-4e71-8624-88c23074f082,,12,APARTMENT,4BHK +SQ,3392 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
0393ac1e-26ec-4d8b-96c1-4bbb57358fdb,37475cb7-21c0-4c64-ba62-5174ca162a47,,1,APARTMENT,3 BHK + SQ,2250 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
04bd8027-8590-47ab-a57d-7fb751f12b07,5ff0bc90-310e-4041-b86c-812b13c5bdad,,Wing Unit,APARTMENT,"4BHK ",4223 Sq Ft,,,,false,false,,,,,,,,AVAILABLE,
05a3a6da-7fa0-4ebe-a9d4-2fd5a1b11664,12ae60bb-6415-427c-86ad-adcb52eb5a8f,,1,APARTMENT,4 BHK + SQ,3610 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
066cd329-e349-47bb-b331-a0d2e7deb9b2,bfdbaac8-419e-473e-ae73-6edd80f14387,,4,APARTMENT,3BHK,2089 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
070f342b-5d72-42f0-9e03-f69f92a4f33d,986e025d-5bf1-4c5d-90b9-2c5bda59d34a,,Studio Apartment,APARTMENT,Sixth Floor,On Request,,,,false,false,,,,,,,,AVAILABLE,
071f9654-8093-4fc7-9a92-09cec9394a03,986e025d-5bf1-4c5d-90b9-2c5bda59d34a,,FF Shop,RETAIL,First Floor,608,,,,false,false,,,,,,,,AVAILABLE,
0784b6d0-b9b1-4b0f-b889-48387fc08425,12ae60bb-6415-427c-86ad-adcb52eb5a8f,,2,APARTMENT,4 BHK + SQ,4800 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
081e508d-1279-470f-a68d-cbe2dd17c8a4,049251cb-0089-4e71-8624-88c23074f082,,6,APARTMENT,4BHK +SQ,4061 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
0aba8cfa-39be-4171-b28c-afae40359354,254b6fe9-2325-4bb5-a35d-b214cb88764d,,1,APARTMENT,4BHK+Utility,3577 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
0b9aeb66-8169-4490-9d50-9e81aaf00464,6a3994f8-8b87-441d-8d43-732f7162ac90,,5,APARTMENT,4.5 BHK,2945 Sq Ft,,,,false,false,,,,,,,,AVAILABLE,
0bd89153-d1ad-4678-a603-6df3451c01ee,ae24318b-3030-428a-94f6-c9c93e7789f6,,3,APARTMENT,4BHK,2659 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
0d0c2b52-9696-468d-9b60-d18fa0d6aa45,6a3994f8-8b87-441d-8d43-732f7162ac90,,8,APARTMENT,4.5 BHK,3125 Sq Ft,,,,false,false,,,,,,,,AVAILABLE,
0f853ef4-f666-4778-91da-e477c03d62f6,982ed68a-ba24-4226-b101-01e7f90de70a,,12,APARTMENT,SP5,293.63 Sq.Meter,,,,false,false,,,,,,,,AVAILABLE,
0f96e013-f5c5-42df-a4fa-115b410ecf9d,5ff0bc90-310e-4041-b86c-812b13c5bdad,,Penthouse HeadUnit,APARTMENT,"4BHK ",8053 Sq Ft,,,,false,false,,,,,,,,AVAILABLE,
10ce6d7b-25c4-4e88-9031-8a4ef654f5ea,2a2c45d5-0f68-459c-a286-0509b7bb6073,,3,APARTMENT,3BHK,1902 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
10f2aafa-162e-465f-81e9-66008037da8e,8eab2ac6-fbc3-450e-b4a9-16ae669df765,,4,APARTMENT,4 Bed Residences,4936 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
12ae456a-f9f8-41a6-931a-3748e32dbb6c,ead71e2f-5982-4c58-b243-5e9cd88d9fe9,,4,APARTMENT,4 BHK,3375 Sq Ft,,,,false,false,,,,,,,,AVAILABLE,
12dd7f28-63ed-4d77-b018-c66d1807c072,2a2c45d5-0f68-459c-a286-0509b7bb6073,,5,APARTMENT,4BHK,2650 SQ.FT,,,,false,false,,,,,,,,AVAILABLE,
13502dfb-07b5-4ef7-88ab-3ddb09ecf90b,ead71e2f-5982-4c58-b243-5e9cd88d9fe9,,5,APARTMENT,5BHK,4095 Sq Ft,,,,false,false,,,,,,,,AVAILABLE,
